id,category,text,dots_wer_pct,cosy_wer_pct,dots_cer_pct,cosy_cer_pct,dots_sim,cosy_sim,dots_rtf,cosy_rtf,wer_winner,sim_winner,rtf_winner
anime_short_11_dehya,short_anime,假设贤者不会每天来把它换掉，它应该早就已经被砍的破破烂烂了对吧？,10.00,10.00,10.00,10.00,0.8391,0.7970,1.5221,0.5094,tie,dots.tts-mf,CosyVoice3
anime_short_12_dehya,short_anime,想不到我们这支临时组建起来拯救神明的队伍，还是很靠谱的嘛。,3.70,0.00,3.70,0.00,0.7633,0.7191,1.5274,0.5546,CosyVoice3,dots.tts-mf,CosyVoice3
anime_short_13_diona,short_anime,以「晨曦酒庄」为首的各种酒商，卖酒的手段就是这样无所不用其极。,0.00,0.00,0.00,0.00,0.8512,0.8477,1.5309,0.5335,tie,dots.tts-mf,CosyVoice3
anime_short_14_diona,short_anime,该不会是刻意装作一副吃不饱的样子，想要惹客人们爱怜它吧？,11.54,11.54,11.54,11.54,0.7161,0.6690,1.5355,0.5443,tie,dots.tts-mf,CosyVoice3
anime_short_15_diona,short_anime,我们接着去莎拉小姐那边吧，内尔森的猫饭我每次都是拜托莎拉小姐做的。,0.00,0.00,0.00,0.00,0.6888,0.7399,1.5252,0.4835,tie,CosyVoice3,CosyVoice3
anime_short_16_gorou,short_anime,你的意思是八重神子害怕我们了，所以故意让我们抽到下下签的是吗？,0.00,10.34,0.00,10.34,0.8515,0.7783,1.5274,0.5263,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_17_gorou,short_anime,可今天看来，我真是错得离谱，我怎么可能瞒得住鹿野院阁下和旅行者呢。,6.67,6.67,6.67,6.67,0.8425,0.8146,1.5255,0.6246,tie,dots.tts-mf,CosyVoice3
anime_short_18_gorou,short_anime,有你在，我感觉没什么好怕的了。我们一定不会让那个坏狐狸得逞的！,0.00,0.00,0.00,0.00,0.8125,0.7973,1.5363,0.5664,tie,dots.tts-mf,CosyVoice3
anime_short_19_kaedehara_kazuha,short_anime,你试图与我进入「一心」的状态，这样你或许还能发挥更强的力量。,3.85,3.85,3.85,3.85,0.8725,0.8386,1.5323,0.6051,tie,dots.tts-mf,CosyVoice3
anime_short_20_kaedehara_kazuha,short_anime,但这种推论还是过于理想化了，我想不到他们是怎么达成一致的。,0.00,0.00,0.00,0.00,0.8659,0.8293,1.3470,0.5193,tie,dots.tts-mf,CosyVoice3
anime_short_21_kaedehara_kazuha,short_anime,火灾之后拥有失踪动机的，目前也只有无法应对债务压力的长门。,0.00,0.00,0.00,0.00,0.8334,0.8213,0.8552,0.5766,tie,dots.tts-mf,CosyVoice3
anime_short_22_kamisato_ayaka,short_anime,说起来，大概十几年前，有一位家臣跟我讲过一个故事。,0.00,4.55,0.00,4.55,0.8025,0.8151,0.7494,0.5179,dots.tts-mf,CosyVoice3,CosyVoice3
anime_short_23_kamisato_ayaka,short_anime,嗯，接下来的调查和处理就由我们来做，不需要你再担心了。,0.00,0.00,0.00,0.00,0.8487,0.8549,0.7717,0.5373,tie,CosyVoice3,CosyVoice3
anime_short_24_kamisato_ayaka,short_anime,拜托了，再占用你一点时间，和我聊聊你喜欢的东西吧。,0.00,0.00,0.00,0.00,0.8894,0.8584,0.7591,0.5224,tie,dots.tts-mf,CosyVoice3
anime_short_25_nahida,short_anime,所以每次在花神诞祭的梦境中醒来，都对之前相同的梦没有了印象。,7.14,7.14,7.14,7.14,0.7950,0.8401,0.7696,0.5020,tie,CosyVoice3,CosyVoice3
anime_short_26_nahida,short_anime,…那么那个人也可以通过「想象」，来随意改变这个梦境中的一切。,0.00,0.00,0.00,0.00,0.8888,0.8525,0.8438,0.5322,tie,dots.tts-mf,CosyVoice3
anime_short_27_nahida,short_anime,甚至还用最后残留的一丝清醒意识，为我们留下了线索…,0.00,0.00,0.00,0.00,0.8933,0.8590,0.7371,0.5662,tie,dots.tts-mf,CosyVoice3
anime_short_28_nilou,short_anime,啊，你不用担心，我是成功做出花盆成品之后才来邀请你的。,0.00,0.00,0.00,0.00,0.7786,0.8156,0.7797,0.5273,tie,CosyVoice3,CosyVoice3
anime_short_29_nilou,short_anime,大家可真会开玩笑啊，哈哈哈，我能在这里演出就已经很开心了哦。,0.00,18.52,0.00,18.52,0.8340,0.7927,0.7689,0.5216,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_30_nilou,short_anime,不说的话，我们这段时间辛辛苦苦练习的刺绣，可就要浪费了。,0.00,0.00,0.00,0.00,0.7037,0.8405,0.7633,0.5795,tie,CosyVoice3,CosyVoice3
anime_short_31_ningguang,short_anime,那你说不定会看见我在万民堂旁边，推着小车卖烤吃虎鱼。,0.00,0.00,0.00,0.00,0.8456,0.8485,0.7467,0.5454,tie,CosyVoice3,CosyVoice3
anime_short_32_ningguang,short_anime,我不知道北国银行在打什么算盘，也不知道他们给了你多少酬劳。,0.00,0.00,0.00,0.00,0.8258,0.7605,0.7359,0.5092,tie,dots.tts-mf,CosyVoice3
anime_short_33_ningguang,short_anime,有不少上了年纪的人，还会把差遣过我这件事当成谈资呢。,0.00,0.00,0.00,0.00,0.8110,0.7480,0.7737,0.5916,tie,dots.tts-mf,CosyVoice3
anime_short_34_noelle,short_anime,不过丘丘人随时可能回来，田先生请找个安全些的地方看着吧。,0.00,0.00,0.00,0.00,0.7663,0.7641,0.7707,0.5318,tie,dots.tts-mf,CosyVoice3
anime_short_35_noelle,short_anime,虽然赶跑丘丘人的工作，平时都是由骑士团的前辈们完成的…,0.00,0.00,0.00,0.00,0.7829,0.8255,0.8011,0.6070,tie,CosyVoice3,CosyVoice3
anime_short_36_noelle,short_anime,就算只是一些琐事也好，就算再辛苦再累也没关系…,0.00,0.00,0.00,0.00,0.8323,0.8362,0.7562,0.5722,tie,CosyVoice3,CosyVoice3
anime_short_37_paimon,short_anime,你对这个案子感兴趣不是因为内容，而是因为嫌疑犯是认识的人？,0.00,0.00,0.00,0.00,0.6881,0.7659,0.7773,0.5474,tie,CosyVoice3,CosyVoice3
anime_short_38_paimon,short_anime,原来你刚才在这里遇到了一个兰那罗，还在他的影响下做了个梦。,3.70,3.70,3.70,3.70,0.7332,0.8301,0.7787,0.5641,tie,CosyVoice3,CosyVoice3
anime_short_39_paimon,short_anime,毕竟迪娜泽黛为了这一天付出了很多嘛，可要打起精神好好享受才行！,3.45,0.00,3.45,0.00,0.8132,0.8569,0.7768,0.5367,CosyVoice3,CosyVoice3,CosyVoice3
anime_short_40_shikanoin_heizou,short_anime,每天那些小小传说都跟长了小脚的卷宗一样，哗啦啦全部跑来我的办公桌上。,0.00,0.00,0.00,0.00,0.8366,0.8184,0.7482,0.5167,tie,dots.tts-mf,CosyVoice3
anime_short_41_shikanoin_heizou,short_anime,她没有什么匪夷所思的力量，只是在用一些提前布置好的小道具吓人而已。,3.23,3.23,3.23,3.23,0.8663,0.8469,0.7471,0.5245,tie,dots.tts-mf,CosyVoice3
anime_short_42_shikanoin_heizou,short_anime,这是直觉的灵光！他的直觉还没有放弃，他的直觉还在努力自救！,0.00,0.00,0.00,0.00,0.8318,0.8511,0.7261,0.5689,tie,CosyVoice3,CosyVoice3
anime_short_43_thoma,short_anime,还是等它需要帮助的时候，我们再去施以援手，这样才是最稳妥的选择。,3.45,6.90,3.45,6.90,0.8503,0.8032,0.7711,0.5218,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_44_thoma,short_anime,只是它们当中大部分都不喜欢被触摸，我也没办法测量它们的身体尺寸。,6.67,6.67,6.67,6.67,0.8315,0.8537,0.7653,0.5610,tie,CosyVoice3,CosyVoice3
anime_short_45_thoma,short_anime,毕竟雷电将军，可是最为殊胜尊贵的存在，是众生只能仰视的神明。,3.70,3.70,3.70,3.70,0.8509,0.8302,0.7470,0.5115,tie,dots.tts-mf,CosyVoice3
anime_short_46_tighnari,short_anime,虽然受地脉影响，许多动物暂时逃了出去，但也不能完全放松警惕。,0.00,0.00,0.00,0.00,0.8610,0.8646,0.7683,0.5669,tie,CosyVoice3,CosyVoice3
anime_short_47_tighnari,short_anime,我对于「机械生命」本身是感兴趣的，但我不喜欢当时那些学者们的态度。,0.00,0.00,0.00,0.00,0.8595,0.8139,0.7450,0.5582,tie,dots.tts-mf,CosyVoice3
anime_short_48_tighnari,short_anime,刚刚我跟他说，吃了退烧药过一段时间就好，但那其实是安慰他的。,0.00,0.00,0.00,0.00,0.8207,0.8278,0.7050,0.5725,tie,CosyVoice3,CosyVoice3
anime_short_49_yae_miko,short_anime,神樱树可是种在我的地盘里，当然要根据我的趣味进行修剪啦。,3.85,3.85,3.85,3.85,0.7968,0.8159,0.7317,0.5457,tie,CosyVoice3,CosyVoice3
anime_short_50_yae_miko,short_anime,直到今天，你和稻妻才真正从几百年前的阴影中完全走出来。,4.00,4.00,4.00,4.00,0.8314,0.8311,0.7291,0.5462,tie,dots.tts-mf,CosyVoice3
anime_short_51_yae_miko,short_anime,那时我感知到影的所在地，也同样察觉到内部的「时间」有异常。,0.00,0.00,0.00,0.00,0.8844,0.8199,0.7363,0.4956,tie,dots.tts-mf,CosyVoice3
anime_short_52_yelan,short_anime,更别说，他的各种正面评价，是在最近的两三个月内集中出现的。,0.00,0.00,0.00,0.00,0.7147,0.7190,0.7307,0.5451,tie,CosyVoice3,CosyVoice3
anime_short_53_yelan,short_anime,大律法咨询师到层岩巨渊来办事，哪里需要请示我的意见。,8.33,0.00,8.33,0.00,0.8021,0.6389,0.7457,0.5349,CosyVoice3,dots.tts-mf,CosyVoice3
anime_short_54_yelan,short_anime,愚人众的主要力量不在这边，富人应该也只把这当做一步闲棋。,11.54,7.69,11.54,7.69,0.8231,0.7791,0.7215,0.5276,CosyVoice3,dots.tts-mf,CosyVoice3
anime_short_55_yoimiya,short_anime,我只是碰巧生在了长野原家，碰巧在老爹的教导下学了这门手艺。,3.70,3.70,3.70,3.70,0.7517,0.7000,0.7706,0.5623,tie,dots.tts-mf,CosyVoice3
anime_short_56_yoimiya,short_anime,不管是什么原因，只要是客人找上门来有事相求，就不能让他失望而归。,0.00,0.00,0.00,0.00,0.7451,0.7543,0.7256,0.5760,tie,CosyVoice3,CosyVoice3
anime_short_57_yoimiya,short_anime,对吧！就算是假的，但是很帅气，很浪漫啊，轮不到别人来否定吧！,0.00,0.00,0.00,0.00,0.7617,0.7865,0.7217,0.5175,tie,CosyVoice3,CosyVoice3
anime_short_58_zhongli,short_anime,那些岩枪经历了长年的风化，最终形成了此番别致的景象。,8.33,12.50,8.33,12.50,0.7813,0.7313,0.7433,0.5441,dots.tts-mf,dots.tts-mf,CosyVoice3
anime_short_59_zhongli,short_anime,躲在棚子里的人没有失踪，在外劳作的人却没了踪影。,0.00,0.00,0.00,0.00,0.8427,0.8522,0.7384,0.5242,tie,CosyVoice3,CosyVoice3
anime_short_60_zhongli,short_anime,这遗迹中藏着什么宝物和陷阱，就全凭两位的阅历去鉴别。,0.00,0.00,0.00,0.00,0.8236,0.7798,0.7495,0.5903,tie,dots.tts-mf,CosyVoice3
en_short_01,short_en,The weather is nice today.,0.00,0.00,0.00,0.00,0.5831,0.3526,0.7874,1.6589,tie,dots.tts-mf,dots.tts-mf
en_short_02,short_en,Please read this sentence clearly.,100.00,0.00,58.62,0.00,0.6540,0.4229,0.7704,1.6008,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_03,short_en,The meeting starts at three.,20.00,0.00,21.74,0.00,0.4764,0.3683,0.7099,1.7044,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_04,short_en,This voice should sound natural.,0.00,0.00,0.00,0.00,0.5123,0.4801,0.7650,1.5208,tie,dots.tts-mf,dots.tts-mf
en_short_05,short_en,We are testing short text synthesis.,0.00,0.00,0.00,0.00,0.5657,0.4277,0.7607,1.1239,tie,dots.tts-mf,dots.tts-mf
en_short_06,short_en,Keep the rhythm steady and calm.,0.00,0.00,0.00,0.00,0.5773,0.5211,0.7300,1.3269,tie,dots.tts-mf,dots.tts-mf
en_short_07,short_en,The model should not skip words.,0.00,0.00,0.00,0.00,0.5672,0.4968,0.8410,1.0547,tie,dots.tts-mf,dots.tts-mf
en_short_08,short_en,This sample checks speech stability.,0.00,0.00,0.00,0.00,0.5488,0.4004,0.7569,1.3715,tie,dots.tts-mf,dots.tts-mf
en_short_09,short_en,A clean output is important here.,33.33,0.00,18.52,0.00,0.7526,0.4916,0.7474,1.3729,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_10,short_en,Now we finish the English set.,0.00,0.00,0.00,0.00,0.6032,0.4879,0.7492,1.4023,tie,dots.tts-mf,dots.tts-mf
en_short_11,short_en,The room is quiet tonight.,0.00,0.00,0.00,0.00,0.6445,0.5321,0.8135,1.6685,tie,dots.tts-mf,dots.tts-mf
en_short_12,short_en,Please keep your voice relaxed.,0.00,0.00,0.00,0.00,0.4972,0.3258,0.8504,1.3464,tie,dots.tts-mf,dots.tts-mf
en_short_13,short_en,I will call you after lunch.,0.00,0.00,0.00,0.00,0.5818,0.4940,0.7643,1.3278,tie,dots.tts-mf,dots.tts-mf
en_short_14,short_en,The light on the desk is warm.,0.00,0.00,0.00,0.00,0.4886,0.3841,0.7509,1.3181,tie,dots.tts-mf,dots.tts-mf
en_short_15,short_en,We need a reliable baseline.,0.00,0.00,0.00,0.00,0.5891,0.3789,0.8074,1.0748,tie,dots.tts-mf,dots.tts-mf
en_short_16,short_en,This sentence is short and simple.,0.00,0.00,0.00,0.00,0.5687,0.4293,0.7998,1.2339,tie,dots.tts-mf,dots.tts-mf
en_short_17,short_en,The system should speak clearly.,40.00,0.00,18.52,0.00,0.2961,0.3689,0.7412,1.4779,CosyVoice3,CosyVoice3,dots.tts-mf
en_short_18,short_en,Do not rush through the ending.,66.67,0.00,40.00,0.00,0.5456,0.3725,0.8016,1.6921,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_19,short_en,The sound should remain stable.,0.00,0.00,0.00,0.00,0.5289,0.4658,0.7897,1.4381,tie,dots.tts-mf,dots.tts-mf
en_short_20,short_en,Today we compare two models.,40.00,0.00,30.43,0.00,0.4382,0.4829,0.7525,1.6814,CosyVoice3,CosyVoice3,dots.tts-mf
en_short_21,short_en,The answer is easy to understand.,0.00,0.00,0.00,0.00,0.5338,0.4003,0.7931,1.2674,tie,dots.tts-mf,dots.tts-mf
en_short_22,short_en,Please check the generated audio.,0.00,0.00,0.00,0.00,0.4809,0.4967,0.9308,1.5050,tie,CosyVoice3,dots.tts-mf
en_short_23,short_en,The speaker identity should remain.,120.00,0.00,86.67,0.00,0.7398,0.3880,0.7706,1.2304,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_24,short_en,This line tests content accuracy.,0.00,20.00,0.00,3.57,0.5161,0.4597,0.7771,1.1136,dots.tts-mf,dots.tts-mf,dots.tts-mf
en_short_25,short_en,A short pause sounds more natural.,0.00,0.00,0.00,0.00,0.5487,0.4111,0.8169,1.0399,tie,dots.tts-mf,dots.tts-mf
en_short_26,short_en,The result will be saved later.,0.00,0.00,0.00,0.00,0.4862,0.2804,0.7905,1.2527,tie,dots.tts-mf,dots.tts-mf
en_short_27,short_en,I prefer a steady speaking rate.,0.00,0.00,0.00,0.00,0.5346,0.4720,0.8371,1.3669,tie,dots.tts-mf,dots.tts-mf
en_short_28,short_en,This test uses the same prompt.,0.00,0.00,0.00,0.00,0.5979,0.3442,0.7389,1.3203,tie,dots.tts-mf,dots.tts-mf
en_short_29,short_en,The sentence has no rare words.,16.67,0.00,12.00,0.00,0.6006,0.5534,0.7127,1.0516,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_30,short_en,We should measure similarity too.,0.00,0.00,0.00,0.00,0.5667,0.4241,0.7840,1.6251,tie,dots.tts-mf,dots.tts-mf
en_short_31,short_en,Please avoid repeating words.,0.00,50.00,0.00,20.00,0.4905,0.3387,0.7499,1.5369,dots.tts-mf,dots.tts-mf,dots.tts-mf
en_short_32,short_en,The voice should not drift away.,16.67,0.00,7.69,0.00,0.5390,0.3495,0.7495,1.2373,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_33,short_en,This is a small English sample.,0.00,0.00,0.00,0.00,0.5779,0.5409,0.7540,1.6211,tie,dots.tts-mf,dots.tts-mf
en_short_34,short_en,The model reads one sentence.,0.00,0.00,0.00,0.00,0.7597,0.4712,0.6992,1.6252,tie,dots.tts-mf,dots.tts-mf
en_short_35,short_en,Keep the volume smooth and even.,0.00,0.00,0.00,0.00,0.5640,0.4101,0.8149,1.3354,tie,dots.tts-mf,dots.tts-mf
en_short_36,short_en,The final report needs numbers.,60.00,0.00,30.77,0.00,0.5703,0.4004,0.7573,1.5513,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_37,short_en,A stable output is useful.,80.00,0.00,71.43,0.00,0.4325,0.4982,0.7543,1.4997,CosyVoice3,CosyVoice3,dots.tts-mf
en_short_38,short_en,Please say this in one breath.,0.00,0.00,0.00,0.00,0.5377,0.4702,0.6862,1.4484,tie,dots.tts-mf,dots.tts-mf
en_short_39,short_en,The benchmark covers short text.,0.00,0.00,0.00,0.00,0.6153,0.3397,1.0082,1.3027,tie,dots.tts-mf,dots.tts-mf
en_short_40,short_en,The prompt audio is unchanged.,0.00,20.00,0.00,12.00,0.7443,0.5337,0.7757,1.6432,dots.tts-mf,dots.tts-mf,dots.tts-mf
en_short_41,short_en,We listen and verify the result.,16.67,0.00,15.38,0.00,0.6745,0.5803,0.7011,1.2837,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_42,short_en,The text should match the audio.,0.00,0.00,0.00,0.00,0.6646,0.3871,0.7050,1.3385,tie,dots.tts-mf,dots.tts-mf
en_short_43,short_en,This line checks pronunciation.,0.00,0.00,0.00,0.00,0.6335,0.4000,0.7157,1.3924,tie,dots.tts-mf,dots.tts-mf
en_short_44,short_en,The model should finish cleanly.,0.00,0.00,0.00,0.00,0.5162,0.4874,0.7549,1.4080,tie,dots.tts-mf,dots.tts-mf
en_short_45,short_en,Please keep the tone neutral.,0.00,0.00,0.00,0.00,0.4407,0.5282,0.7012,1.9120,tie,CosyVoice3,dots.tts-mf
en_short_46,short_en,The speech must stay intelligible.,0.00,0.00,0.00,0.00,0.5471,0.3813,0.6756,1.4064,tie,dots.tts-mf,dots.tts-mf
en_short_47,short_en,This sample is for comparison.,0.00,0.00,0.00,0.00,0.5945,0.5675,0.6944,1.3134,tie,dots.tts-mf,dots.tts-mf
en_short_48,short_en,The voice should be recognizable.,0.00,0.00,0.00,0.00,0.6016,0.5478,0.6778,1.4590,tie,dots.tts-mf,dots.tts-mf
en_short_49,short_en,We record the real time factor.,33.33,0.00,0.00,0.00,0.5565,0.4263,0.6854,1.2711,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_50,short_en,The English subset has sixty cases.,16.67,16.67,17.24,17.24,0.5887,0.3370,0.6843,0.9931,tie,dots.tts-mf,dots.tts-mf
en_short_51,short_en,Short text can still be difficult.,0.00,16.67,0.00,3.57,0.5414,0.4464,0.7084,1.4719,dots.tts-mf,dots.tts-mf,dots.tts-mf
en_short_52,short_en,The generated file is a wave file.,14.29,0.00,3.70,0.00,0.5206,0.4753,0.7022,1.0481,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_53,short_en,Please keep the ending natural.,0.00,0.00,0.00,0.00,0.5038,0.4741,0.7032,1.4654,tie,dots.tts-mf,dots.tts-mf
en_short_54,short_en,This sentence has six simple words.,50.00,0.00,24.14,0.00,0.5818,0.4286,0.6770,1.2542,CosyVoice3,dots.tts-mf,dots.tts-mf
en_short_55,short_en,The baseline should be reproducible.,20.00,0.00,9.68,0.00,0.4863,0.3605,1.2826,1.1909,CosyVoice3,dots.tts-mf,CosyVoice3
en_short_56,short_en,We need fair model settings.,0.00,0.00,0.00,0.00,0.5240,0.3399,1.5725,1.4662,tie,dots.tts-mf,CosyVoice3
en_short_57,short_en,The output path is fixed.,0.00,20.00,0.00,15.00,0.5073,0.3816,1.5581,1.4640,dots.tts-mf,dots.tts-mf,CosyVoice3
en_short_58,short_en,This case checks latency.,50.00,0.00,33.33,0.00,0.5518,0.4472,1.5807,1.3790,CosyVoice3,dots.tts-mf,CosyVoice3
en_short_59,short_en,The final sample is complete.,80.00,0.00,66.67,0.00,0.5721,0.5288,1.5426,1.4169,CosyVoice3,dots.tts-mf,CosyVoice3
en_short_60,short_en,Now the English test is done.,0.00,0.00,0.00,0.00,0.5770,0.3943,1.5598,1.1996,tie,dots.tts-mf,CosyVoice3
zh_short_01,short_zh,广州女大学生登山失联四天警方找到疑似女尸,0.00,0.00,0.00,0.00,0.8658,0.8809,0.8197,0.6772,tie,CosyVoice3,CosyVoice3
zh_short_02,short_zh,尊重科学规律的要求,0.00,0.00,0.00,0.00,0.8510,0.8408,0.8001,0.7806,tie,dots.tts-mf,CosyVoice3
zh_short_03,short_zh,黑客宣布只要拨打某一个电话,0.00,0.00,0.00,0.00,0.8946,0.8121,0.8046,0.7335,tie,dots.tts-mf,CosyVoice3
zh_short_04,short_zh,北京万科总经理刘肖的观点极具代表性,5.88,5.88,5.88,5.88,0.8379,0.8709,0.7654,0.6182,tie,CosyVoice3,CosyVoice3
zh_short_05,short_zh,五百四十五万七千一百二十二,0.00,0.00,0.00,0.00,0.8193,0.8433,0.7706,0.8060,tie,CosyVoice3,dots.tts-mf
zh_short_06,short_zh,广州大学城女尸案嫌疑犯变供称死者为女友,5.26,5.26,5.26,5.26,0.9103,0.9159,0.7617,0.5997,tie,CosyVoice3,CosyVoice3
zh_short_07,short_zh,搜狐娱乐讯据台湾媒体报道,0.00,0.00,0.00,0.00,0.8742,0.8494,0.7449,0.7784,tie,dots.tts-mf,dots.tts-mf
zh_short_08,short_zh,职业联赛该干的让职业联赛干,0.00,0.00,0.00,0.00,0.8515,0.7526,0.7939,0.8009,tie,dots.tts-mf,dots.tts-mf
zh_short_09,short_zh,儿子趁机玩儿爸爸的手机,9.09,9.09,9.09,9.09,0.7886,0.8119,0.8176,0.8068,tie,CosyVoice3,CosyVoice3
zh_short_10,short_zh,未来广州将把高铁引进市区,0.00,0.00,0.00,0.00,0.8477,0.8537,0.7856,0.7252,tie,CosyVoice3,CosyVoice3
zh_short_11,short_zh,将于十一月二十一日早七点在东方明珠塔下跑起,0.00,0.00,0.00,0.00,0.8396,0.8697,0.8052,0.5991,tie,CosyVoice3,CosyVoice3
zh_short_12,short_zh,经广州日报报道后成为了社会热点,0.00,0.00,0.00,0.00,0.8565,0.8432,0.7887,0.6634,tie,dots.tts-mf,CosyVoice3
zh_short_13,short_zh,反倒会伤害国家队的长远利益,0.00,0.00,0.00,0.00,0.8985,0.8322,0.7678,0.8239,tie,dots.tts-mf,dots.tts-mf
zh_short_14,short_zh,他前天举办粉丝见面会,0.00,0.00,0.00,0.00,0.8056,0.8323,0.8143,0.7515,tie,CosyVoice3,CosyVoice3
zh_short_15,short_zh,五百五十二万六千零三,0.00,0.00,0.00,0.00,0.8214,0.8465,0.7923,0.8740,tie,CosyVoice3,dots.tts-mf
zh_short_16,short_zh,带动服务经济社会发展,0.00,0.00,0.00,0.00,0.8739,0.8101,0.7834,0.7626,tie,dots.tts-mf,CosyVoice3
zh_short_17,short_zh,该机场紧急处置一起非法干扰航班事件,0.00,0.00,0.00,0.00,0.8795,0.8973,0.7702,0.7158,tie,CosyVoice3,CosyVoice3
zh_short_18,short_zh,购买高价项目的客群心态也在发生改变,0.00,0.00,0.00,0.00,0.8805,0.8768,0.7608,0.6577,tie,dots.tts-mf,CosyVoice3
zh_short_19,short_zh,广州女孩儿失联剧情反转因诈骗被拘一直隐瞒身份,4.55,4.55,4.55,4.55,0.8897,0.8817,0.7619,0.7345,tie,dots.tts-mf,CosyVoice3
zh_short_20,short_zh,一百家新型产业公司平均实现营业收入四亿元,0.00,0.00,0.00,0.00,0.8737,0.8562,0.7633,0.6531,tie,dots.tts-mf,CosyVoice3
zh_short_21,short_zh,除了提高产品品质外,0.00,0.00,0.00,0.00,0.8824,0.8598,0.7654,0.7204,tie,dots.tts-mf,CosyVoice3
zh_short_22,short_zh,他们的价格大都在二三千万之间,0.00,0.00,0.00,0.00,0.8110,0.7973,0.8029,0.6231,tie,dots.tts-mf,CosyVoice3
zh_short_23,short_zh,特斯拉官网官微被黑客劫持宣布免费运车搜狐科技,0.00,0.00,0.00,0.00,0.8877,0.8945,0.7457,0.5307,tie,CosyVoice3,CosyVoice3
zh_short_24,short_zh,十路无人售票第一人民医院站,0.00,0.00,0.00,0.00,0.8643,0.8612,0.8113,0.7129,tie,dots.tts-mf,CosyVoice3
zh_short_25,short_zh,龙湖是最早进入孙河板块的企房企,0.00,0.00,0.00,0.00,0.8535,0.8425,0.7694,0.6330,tie,dots.tts-mf,CosyVoice3
zh_short_26,short_zh,为公益进行一次身体力行的贡献,0.00,0.00,0.00,0.00,0.8291,0.8458,0.7855,0.6383,tie,CosyVoice3,CosyVoice3
zh_short_27,short_zh,能有组织地进行体育锻炼,9.09,9.09,9.09,9.09,0.8079,0.8983,0.8186,0.7222,tie,CosyVoice3,CosyVoice3
zh_short_28,short_zh,特斯拉将全面支持新国标,0.00,0.00,0.00,0.00,0.8202,0.8894,0.8068,0.6349,tie,CosyVoice3,CosyVoice3
zh_short_29,short_zh,是众辉体育以服务全国跑者为核心,0.00,13.33,0.00,13.33,0.9273,0.8792,0.7892,0.5530,dots.tts-mf,dots.tts-mf,CosyVoice3
